placeId,destination_name,category
0,Agrowisata Batulamak,wisata pertanian
1,Gunung Pangulubao,wisata alam
2,Homestay Desa wisata SIGAPITON,wisata alam
3,Wisata alam Goa Sigalapang,wisata alam
4,PUNCAK DOLOK MOTUNG,wisata alam
5,wisata alam Ajibata,wisata alam
6,Water Park Tambunan,wisata tirta
7,Philips & Elkin Farm,wisata pertanian
8,Swimingpoollosungaek,wisata tirta
9,BUKIT GIBEON (YAPIM TARUNA),wisata alam & wisata religi
10,HKBP SIBODIALA,wisata religi
11,Air Terjun Sialogo,wisata alam
12,Air Terjun Lumban Rang,wisata alam
13,Caldera toba nomadic escape (glamour camping),wisata alam
14,AIR TERJUN BIDADARI JONGGI NIHUTA,wisata alam
15,Siboruon Waterfall,wisata alam
16,pasir Putih Porsea,wisata bahari
17,Rumah Adat Batak,wisata budaya
18,Bukit Dolok Tolong,wisata alam
19,Rumagorga Rumah Adat Batak,wisata budaya
20,Air Terjun Siboruon,wisata alam
21,wisata PUNCAK PANGKODIAN,wisata alam
22,Simananduk Motung,wisata bahari
23,Puncak Tara Bunga,wisata alam
24,Long Beach,wisata bahari
25,Batu Basiha,wisata sejarah
26,Bukit Pahoda,wisata alam
27,Panatapan Sirungkungan (Dolok Nagodang),wisata alam
28,Istana Kaldera Unesco Geopark Danau Toba,wisata alam
29,wisata Rumah Pohon,wisata alam
30,Pakkodian Toba,wisata bahari
31,Tugu Pahlawan Revolusi,wisata sejarah
32,Singgolom,wisata alam
33,Air Terjun Pandumaan,wisata alam
34,Desa Adat Ragi Hotang Meat,wisata budaya
35,Pantai Parparean 2,wisata bahari
36,Rest Area Adian Nalambok,wisata alam
37,Pantai Tambunan Sunset Beach,wisata bahari
38,Air Terjun Sampuran,wisata alam
39,Simanimbo Waterfall,wisata alam
40,Tugu D.I PANJAITAN,wisata sejarah
41,Taman Eden 100,wisata alam
42,Pemandian Bukit Gibeon,wisata tirta
43,PASIR PUTIH LUMBAN BULBUL,wisata bahari
44,PANTAI AGADON,wisata alam
45,Pantai Meat,wisata bahari
46,Air Terjun Taman Eden 100,wisata alam
47,Air Terjun Situmurun,wisata alam
48,Desa Meat,wisata alam & wisata budaya
49,Siregar Aek Nalas,wisata bahari
50,Panatapan Tara Bunga,wisata alam
51,Tarabunga,wisata alam
52,Pantai Sibola Hotang,wisata bahari
53,Bukit Senyum Motung,wisata alam
54,wisata BUKIT GIBEON SIBISA PARAPAT,wisata alam & wisata religi
55,Bukit Senyum,wisata alam
56,Pantai Lumban Bul-bul Balige,wisata bahari
57,Pantai Pasir Putih Parparean,wisata bahari
58,Museum Batak Tb Silalahi Center,wisata sejarah
59,The Kaldera,wisata alam
60,Pantai Janji Maria,wisata bahari
61,Hatulian Beach,wisata bahari
62,Air Terjun Sigura-Gura,wisata alam
63,Monumen Raja SONAKMALELA,wisata sejarah
64,Air Terjun Sampuran Harimau,wisata alam